criteria,condition,equivalent_units,quantity,unit,source,description
energy,,⚡ Hour(s) of phone use,1,Wh,Base Empreinte Numérique v2.0,"3,9kWh/year -gt  10,68 Wh/day so 1Wh/hour if you use your phone 10 hours each day"
energy,"gt 25kWh",⚡ Daily energy consumption of a French household,25000,Wh,https://librairie.ademe.fr/ged/7232/EXE_231127_ADEME_GuidePP_ReduireFactureElectricite_MajOct23_WEB__1_.pdf,"on average, a french house consume 25 kWh every day"
energy,"gt 10 000kWh",⚡ Annual energy consumption of a French household,9044000,Wh,https://librairie.ademe.fr/ged/7232/EXE_231127_ADEME_GuidePP_ReduireFactureElectricite_MajOct23_WEB__1_.pdf,"on average, a french house consume 9044 kWh every year"
climate change,,🌫️ Hour(s) of video streaming,64,gCO2eq,https://impactco2.fr/outils/comparateur,"1 hour of video streaming emits 64 g of CO2eq"
climate change,"gt 10kgCO2eq",🌫️ Km(s) travelled by combustion-powered car (1 passenger),109,gCO2eq,https://impactco2.fr/outils/comparateur,"1km travelled by combustion-powered car (1 passenger) emits 109 g of CO2eq"
climate change,"gt 500kgCOE2eq",🌫️ Meal(s) with beef,7250,gCO2eq,https://impactco2.fr/outils/comparateur,"1 meal with beef emits 7,25 kg of CO2eq"
climate change,"gt 1 000 kgCO2eq",🌫️ Round trip(s) paris new york by plane,1770000,gCO2eq,https://impactco2.fr/outils/comparateur,"1 round trip paris new york by plane emits 1770kgCO2eq"
abiotic ressources,,⛏️ Usb stick(s) manufactured,0.1489,gSBeq,Base Empreinte Numérique v2.0,"0,000147kgSBeq is the impact on abiotic ressources for the manufacturing of 1 usb stick"
abiotic ressources,"gt 0.003 kgSBeq",⛏️ Smartphone(s) manufactured,2.83,gSBeq,Base Empreinte Numérique v2.0,"0,00263018260929293 kgSBeq is the impact on abiotic ressources for the manufacturing of 1 smartphone"
abiotic ressources,"gt 0.09 kgSBeq",⛏️ Gpu server(s) manufactured,190,gSBeq,BoaviztAPI platfom_gpucompute_veryhigh,"0,089536569 kgSBeq is the impact on abiotic ressources for the manufacturing of 1 computing server composed of 1 GPU"
water use,,💧 Minimum quantity of drinking water per day for 1 adult,1.5,L,https://www.culligan.fr/conseils/combien-d-eau-boire-par-jour/?utm_campaign=Pmax-GP-V2&utm_medium=Pmax&utm_source=Google&utm_adgroup=Adoucisseurs&gad_source=5&gclid=EAIaIQobChMIoLCAzYfAigMVMwIGAB3lnxc2EAAYAiAAEgJYIPD_BwE,"an adult should drink at least 1,5L of water every day"
water use,"gt 200L",💧 Domestic water consumption per day for one person,147,L,https://www.notre-environnement.gouv.fr/themes/societe/le-mode-de-vie-des-menages-ressources/article/consommation-domestique-en-eau-potable,"147 liters per day per inhabitant"
water use,"gt 55 000L",💧 Domestic water consumption per year for one person,54000,L,https://www.notre-environnement.gouv.fr/themes/societe/le-mode-de-vie-des-menages-ressources/article/consommation-domestique-en-eau-potable,"53655 liters per day per inhabitant"
water use,"gt 2 500m3",💧 Olympic swimming pool(s),2500000,L,https://www.guide-piscine.fr/taille-du-bassin/dimensions-et-volume-d-une-piscine-olympique-5117_A,"2500m3 to fill 1 olympic swimming pool"
